id;title;link;price;specialty;student_number;foreign_number;teacher_number;year_of_foundation;address;email
1;Евразийский национальный университет имени Л.Н. Гумилева;https://www.enu.kz/ru;1 050 000;172;19 000;915;2 474;1996;010008, Республика Казахстан, г.Нур-Султан, ул.Сатпаева, 2;enu@enu.kz
2;Astana IT University;https://astanait.edu.kz;Цену уточняйте;13;2 000;180;200;2019;Нур-Султан, улица Мангилик Ел 55/11, Бизнес-центр EXPO, блок C1;info@astanait.edu.kz
3;Казахский агротехнический университет имени Сакена Сейфуллина;https://kazatu.kz/ru;360 000;79;13077;127;814;2012;г. Нур-Султан, проспект Женис, 62;agun.katu@gmail.com
4;Назарбаев Университет;https://nu.edu.kz/ru;Цену уточняйте;64;4 663;800;462;2010;пр. Кабанбай батыра 53, Нур-Султан;nu@nu.edu.kz
5;Казахский университет технологии и бизнеса;https://www.kazutb.kz/ru;200 000;45;4 000;100;160;2003;г. Нур-Султан, район Есиль, ул. Кайым Мухамедханова, здание 37 А.;info@kazutb.kz
6;Евразийский гуманитарный институт;https://egi.kz/ru;300 000;9;1 250;120;132;1995;г. Нур-Султан, район Алматы, проспект М. Жумабаева, 4;eagi.admission@mail.ru
7;Университет КАЗГЮУ имени М.С. Нарикбаева;https://kazguu.kz/ru;480 000;38;6 000;120;610;1994;Республика Казахстан, г. Нур-Султан, Коргалжинское шоссе, 8;info@kazguu.kz
8;Медицинский университет Астана;https://www.amu.kz;635 800;31;6 360;127;450;1964;010000, г. Нур-Султан, ул.Бейбитшилик, 49 а;rektorat@amu.kz
9;Финансовая академия;https://fin-academy.kz;365 000;19;Дополняется информацией;Дополняется информацией;Дополняется информацией;2009;г. Нур-Султан, ул. Есенберлина, д. 25;priemnayakom_fa-maef@mail.ru
10;Казахский национальный университет искусств;https://kaznui.kz;Цену уточняйте;98;Дополняется информацией;Дополняется информацией;Дополняется информацией;1998;Нур-Султан, проспект Тауелсиздик, 50;kaznam98@mail.ru
